Profile v. 1.1 Log
Time: 03.11.2011 - 20:30
System: Goma v.2.0.0 - 016 PHP 5.3.3
Profile-Time: 36.496877670288ms
URL: /?profile
Memory-Peak-Usage: 14469K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       14.462ms (19.19%)   3678K (26.1121%)    init
1       0.0591ms (0.08%)    7K (0.051%)         session
1       6.2392ms (8.28%)    1623K (11.5229%)    core_requires
1       7.7631ms (10.3%)    2038K (14.4654%)    preloads
82      2.0688ms (2.75%)    111K (0.7906%)      Object::__construct
1       6.1309ms (8.14%)    1290K (9.1607%)     loadFramework
1       3.479ms (4.62%)     851K (6.0424%)      classinfo
13      3.0015ms (3.98%)    27K (0.1929%)       resources::Add
109     2.9144ms (3.87%)    -49K (-0.3499%)     Core::getCMSVar
34      0.8836ms (1.17%)    60K (0.4244%)       classinfo::setSaveVars
1       0.0141ms (0.02%)    1K (0.0086%)        autoloader
1       1.188ms (1.58%)     183K (1.2985%)      Core::Init
1       0.6781ms (0.9%)     124K (0.8832%)      i18n::Init
2       0.474ms (0.63%)     135K (0.9613%)      cacher
45      6.232ms (8.27%)     1528K (10.8473%)    Object::instance
1       2.81ms (3.73%)      852K (6.049%)       settings
28      0.4919ms (0.65%)    33K (0.2323%)       autoloader::load
28      12.5964ms (16.72%)  4047K (28.7283%)    autoloader_require
12      1.5478ms (2.05%)    402K (2.8551%)      DataObject::__construct
27      7.7589ms (10.3%)    527K (3.7431%)      DataObject::__cancall
344     18.6796ms (24.79%)  2046K (14.5261%)    Object::method_exists
239     5.3313ms (7.08%)    224K (1.59%)        Object::method_exists after
9       12.275ms (16.29%)   866K (6.147%)       DataObject::getWholeData
9       0.4141ms (0.55%)    26K (0.1861%)       getwholedata::hash
12      8.0621ms (10.7%)    813K (5.7705%)      DataObject::buildQuery
12      5.7173ms (7.59%)    686K (4.8704%)      DataObject::buildSQL
12      0.1717ms (0.23%)    11K (0.0801%)       buildSQL::search
12      2.0025ms (2.66%)    94K (0.6641%)       SelectQuery::build
11      0.8383ms (1.11%)    42K (0.3008%)       extractToWhere
12      4.4444ms (5.9%)     21K (0.1464%)       sql::query
13      0.453ms (0.6%)      61K (0.4341%)       DataObject::setENV
125     30.0434ms (39.87%)  2475K (17.5712%)    DataObject::getOffset
4       6.0301ms (8%)       253K (1.7981%)      DataObject::_count
4       0.6969ms (0.92%)    10K (0.0676%)       classinfo::getChildren
1       34.354ms (45.59%)   3881K (27.5506%)    render
25      0.6647ms (0.88%)    54K (0.3862%)       request::match
14      0.6039ms (0.8%)     45K (0.3222%)       DataObject::makeObject
1       0.746ms (0.99%)     218K (1.5492%)      livecounter
5       47.9782ms (63.68%)  3372K (23.9378%)    tpl::parser
8       2.2068ms (2.93%)    36K (0.2548%)       tpl::buildFilesForTemplate
8       1.1981ms (1.59%)    12K (0.0843%)       tplcache
5       47.3442ms (62.84%)  3356K (23.8248%)    tpl_run
2       0.0267ms (0.04%)    2K (0.0162%)        HTMLNode::html
4       26.5052ms (35.18%)  2084K (14.796%)     loops
1       39.7799ms (52.8%)   2423K (17.199%)     serve
3       0.2632ms (0.35%)    20K (0.1406%)       Object::__call
3       0.221ms (0.29%)     12K (0.088%)        ViewAccessableData::getOffset
1       0.0608ms (0.08%)    5K (0.0323%)        ViewAccessableData::makeObject
1       0.8919ms (1.18%)    36K (0.2531%)       getBody
1       0.7188ms (0.95%)    30K (0.2165%)       HTMLParser::parseHTML
2       0.0463ms (0.06%)    4K (0.0249%)        HTMLParser::js
1       0.4239ms (0.56%)    13K (0.0946%)       Resources::get
1       0.365ms (0.48%)     3K (0.0222%)        Resources::generateFiles
======================================================================
        75.3462ms (100%)    14087K              Whole Execution
