Profile v. 1.1 Log
Time: 13.12.2011 - 20:11
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 41.587591171265ms
URL: /admin/settings/?profile
Memory-Peak-Usage: 13956K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       13.3171ms (8.19%)   3317K (24.134%)     init
1       0.057ms (0.04%)     6K (0.0408%)        session
1       6.6268ms (4.08%)    1702K (12.3856%)    core_requires
1       6.201ms (3.81%)     1599K (11.6341%)    preloads
142     4.3588ms (2.68%)    241K (1.7545%)      Object::__construct
64      2.2759ms (1.4%)     139K (1.0145%)      ClassInfo::setSaveVars
1       6.31ms (3.88%)      1266K (9.2151%)     loadFramework
1       3.6969ms (2.27%)    842K (6.1245%)      classinfo
11      3.4182ms (2.1%)     46K (0.338%)        resources::Add
61      5.8467ms (3.6%)     742K (5.3975%)      Core::getCMSVar
1       0.0131ms (0.01%)    1K (0.0089%)        autoloader
1       1.8511ms (1.14%)    196K (1.4272%)      Core::Init
1       0.664ms (0.41%)     129K (0.9369%)      i18n::Init
2       0.4659ms (0.29%)    140K (1.0156%)      cacher
17      3.3448ms (2.06%)    730K (5.311%)       Object::instance
1       4.348ms (2.67%)     1320K (9.6077%)     settings
40      0.685ms (0.42%)     46K (0.3363%)       autoloader::load
40      14.6472ms (9.01%)   3384K (24.6259%)    autoloader_require
10      1.3082ms (0.8%)     396K (2.8845%)      DataObject::__construct
355     19.3188ms (11.88%)  1128K (8.2051%)     Object::method_exists
253     5.475ms (3.37%)     238K (1.7325%)      Object::method_exists after
129     22.3861ms (13.77%)  1316K (9.5736%)     ViewAccessableData::getOffset
5       6.8669ms (4.22%)    623K (4.533%)       DataObject::getRecords
5       0.1132ms (0.07%)    6K (0.0424%)        getwholedata::hash
4       2.5556ms (1.57%)    255K (1.8534%)      DataObject::buildExtendedQuery
4       2.4042ms (1.48%)    246K (1.788%)       DataObject::buildQuery
4       0.7529ms (0.46%)    51K (0.3698%)       SelectQuery::build
4       1.091ms (0.67%)     7K (0.0514%)        sql::query
3       0.5081ms (0.31%)    8K (0.0576%)        classinfo::getChildren
1       57.22ms (35.19%)    4144K (30.1577%)    render
16      0.5586ms (0.34%)    42K (0.3059%)       request::match
1       0.0138ms (0.01%)    1K (0.0092%)        RequestHandler::checkPermission
58      3.6969ms (2.27%)    221K (1.6062%)      ViewAccessableData::makeObject
2       68.6769ms (42.23%)  4799K (34.9221%)    tpl::parser
2       0.5412ms (0.33%)    10K (0.0724%)       tpl::buildFilesForTemplate
2       0.2811ms (0.17%)    3K (0.0234%)        tplcache
2       68.0022ms (41.82%)  4783K (34.8063%)    tpl::parser Run
1       0.0739ms (0.05%)    7K (0.0508%)        form::__construct
151     2.4209ms (1.49%)    180K (1.3095%)      HTMLNode::html
1       18.9819ms (11.67%)  1040K (7.5709%)     Form::renderForm
13      3.6001ms (2.21%)    230K (1.6769%)      FormField::field
4       5.8007ms (3.57%)    397K (2.8869%)      FieldSet::field
1       0.2429ms (0.15%)    13K (0.0966%)       FormAction::field
1       8.2319ms (5.06%)    395K (2.8763%)      Form::renderForm::render
1       20.9119ms (12.86%)  1440K (10.4781%)    serve
2       15.2597ms (9.38%)   1195K (8.6922%)     loops
1       1.1711ms (0.72%)    86K (0.6256%)       getBody
1       0.87ms (0.54%)      75K (0.5484%)       HTMLParser::parseHTML
1       0.0179ms (0.01%)    1K (0.0094%)        HTMLParser::js
1       0.4389ms (0.27%)    13K (0.0931%)       Resources::get
1       0.3748ms (0.23%)    3K (0.0227%)        Resources::generateFiles
======================================================================
        162.6146ms (100%)   13742K              Whole Execution
