Profile v. 1.1 Log
Time: 21.11.2011 - 08:20
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 58.3176612854ms
URL: /artikel/der-erste-artikel/?profile
Memory-Peak-Usage: 17002K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       13.134ms (10.67%)   3305K (20.2657%)    init
1       0.051ms (0.04%)     4K (0.027%)         session
1       6.8121ms (5.53%)    1682K (10.3148%)    core_requires
1       5.9018ms (4.79%)    1608K (9.8618%)     preloads
116     3.1683ms (2.57%)    158K (0.9703%)      Object::__construct
1       6.5238ms (5.3%)     1510K (9.2588%)     loadFramework
1       4.0381ms (3.28%)    1090K (6.6837%)     classinfo
17      4.2224ms (3.43%)    38K (0.2338%)       resources::Add
119     5.6481ms (4.59%)    24K (0.1499%)       Core::getCMSVar
53      1.2145ms (0.99%)    80K (0.4891%)       classinfo::setSaveVars
1       0.0131ms (0.01%)    1K (0.0074%)        autoloader
1       1.471ms (1.19%)     187K (1.1463%)      Core::Init
1       0.6039ms (0.49%)    125K (0.7653%)      i18n::Init
2       0.4222ms (0.34%)    136K (0.8325%)      cacher
26      5.4371ms (4.42%)    1230K (7.5418%)     Object::instance
1       3.6981ms (3%)       1128K (6.9156%)     settings
47      0.865ms (0.7%)      55K (0.336%)        autoloader::load
47      18.7628ms (15.24%)  4953K (30.368%)     autoloader_require
23      1.9004ms (1.54%)    510K (3.1267%)      DataObject::__construct
558     32.2154ms (26.17%)  2228K (13.6623%)    Object::method_exists
417     10.3087ms (8.37%)   413K (2.5316%)      Object::method_exists after
173     29.5441ms (24%)     1833K (11.2403%)    DataObject::getOffset
14      38.3925ms (31.18%)  1730K (10.6063%)    DataObject::getRecords
14      0.3645ms (0.3%)     16K (0.0968%)       getwholedata::hash
16      33.5567ms (27.26%)  1266K (7.7648%)     DataObject::buildExtendedQuery
16      28.9273ms (23.5%)   583K (3.5759%)      DataObject::buildQuery
16      2.491ms (2.02%)     101K (0.6206%)      SelectQuery::build
45      14.8134ms (12.03%)  66K (0.4043%)       sql::query
25      4.7746ms (3.88%)    249K (1.5246%)      DataObject::__cancall
4       129.5331ms (105.21%)8524K (52.2606%)    DataObject::getAggregate
26      1.5943ms (1.29%)    92K (0.5649%)       ViewAccessableData::makeObject
1       50.827ms (41.28%)   4653K (28.5266%)    render
27      0.7823ms (0.64%)    60K (0.3678%)       request::match
1       0.8898ms (0.72%)    204K (1.2524%)      livecounter
5       95.1581ms (77.29%)  5570K (34.153%)     tpl::parser
8       2.7404ms (2.23%)    36K (0.2205%)       tpl::buildFilesForTemplate
8       1.4617ms (1.19%)    12K (0.073%)        tplcache
5       94.5218ms (76.77%)  5554K (34.0552%)    tpl_run
24      0.3638ms (0.3%)     31K (0.1931%)       HTMLNode::html
5       43.7961ms (35.57%)  2394K (14.6779%)    loops
1       0.3779ms (0.31%)    11K (0.0646%)       form::__construct
1       5.517ms (4.48%)     322K (1.9771%)      Form::renderForm
6       1.4372ms (1.17%)    107K (0.6556%)      FormField::field
1       0.2761ms (0.22%)    13K (0.0815%)       FormAction::field
1       1.1821ms (0.96%)    54K (0.3326%)       Form::renderForm::render
1       77.1ms (62.62%)     3448K (21.1404%)    serve
6       0.4237ms (0.34%)    27K (0.1674%)       Object::__call
28      2.7335ms (2.22%)    214K (1.3145%)      ViewAccessableData::getOffset
1       0.7689ms (0.62%)    26K (0.1597%)       DataObject::getGroupedRecords
1       1.2698ms (1.03%)    38K (0.2314%)       getBody
1       1.101ms (0.89%)     31K (0.1881%)       HTMLParser::parseHTML
1       0.02ms (0.02%)      1K (0.008%)         HTMLParser::js
1       0.89ms (0.72%)      15K (0.0915%)       Resources::get
1       0.8271ms (0.67%)    3K (0.0213%)        Resources::generateFiles
======================================================================
        123.1203ms (100%)   16310K              Whole Execution
