Profile v. 1.1 Log
Time: 30.11.2011 - 16:53
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 59.169054031372ms
URL: /admin/?profile
Memory-Peak-Usage: 11724K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       20.0951ms (20%)     3272K (28.4575%)    init
1       0.0832ms (0.08%)    4K (0.0381%)        session
1       10.241ms (10.19%)   1689K (14.6879%)    core_requires
1       9.1889ms (9.14%)    1569K (13.6437%)    preloads
110     5.2307ms (5.21%)    172K (1.4986%)      Object::__construct
42      2.562ms (2.55%)     104K (0.9031%)      ClassInfo::setSaveVars
1       9.522ms (9.48%)     1265K (10.9995%)    loadFramework
1       5.2998ms (5.27%)    839K (7.2976%)      classinfo
8       3.6955ms (3.68%)    31K (0.273%)        resources::Add
102     12.0716ms (12.01%)  967K (8.4078%)      Core::getCMSVar
1       0.021ms (0.02%)     1K (0.0105%)        autoloader
1       2.1541ms (2.14%)    190K (1.6509%)      Core::Init
1       1.0409ms (1.04%)    127K (1.1067%)      i18n::Init
2       0.7169ms (0.71%)    138K (1.2013%)      cacher
18      5.1906ms (5.17%)    707K (6.1466%)      Object::instance
1       6.8519ms (6.82%)    1298K (11.2879%)    settings
23      0.6721ms (0.67%)    27K (0.2336%)       autoloader::load
23      15.3716ms (15.3%)   2479K (21.5606%)    autoloader_require
8       2.0862ms (2.08%)    379K (3.3008%)      DataObject::__construct
312     25.2905ms (25.17%)  850K (7.3921%)      Object::method_exists
215     7.5793ms (7.54%)    209K (1.8159%)      Object::method_exists after
189     47.5755ms (47.35%)  1371K (11.9245%)    ViewAccessableData::getOffset
4       10.128ms (10.08%)   600K (5.2161%)      DataObject::getRecords
4       0.145ms (0.14%)     5K (0.0412%)        getwholedata::hash
13      9.0985ms (9.05%)    438K (3.806%)       DataObject::buildExtendedQuery
13      8.2002ms (8.16%)    409K (3.5564%)      DataObject::buildQuery
13      2.3413ms (2.33%)    67K (0.5809%)       SelectQuery::build
13      4.0562ms (4.04%)    22K (0.1937%)       sql::query
1       98.8369ms (98.36%)  3609K (31.3927%)    render
12      0.5937ms (0.59%)    26K (0.2251%)       request::match
41      3.7987ms (3.78%)    151K (1.3171%)      ViewAccessableData::makeObject
1       86.9219ms (86.5%)   2983K (25.9461%)    tpl::parser
1       0.464ms (0.46%)     6K (0.0509%)        tpl::buildFilesForTemplate
1       0.241ms (0.24%)     2K (0.0153%)        tplcache
1       86.323ms (85.91%)   2973K (25.8573%)    tpl::parser Run
3       74.0483ms (73.69%)  2723K (23.6877%)    loops
2       0.5879ms (0.59%)    6K (0.051%)         classinfo::getChildren
10      11.451ms (11.4%)    293K (2.551%)       DataObject::getAggregate
1       0.0832ms (0.08%)    1K (0.0104%)        serve
1       1.606ms (1.6%)      36K (0.3156%)       getBody
1       1.272ms (1.27%)     29K (0.2482%)       HTMLParser::parseHTML
2       0.3343ms (0.33%)    4K (0.0306%)        HTMLParser::js
1       0.5882ms (0.59%)    12K (0.1038%)       Resources::get
1       0.4919ms (0.49%)    3K (0.0241%)        Resources::generateFiles
======================================================================
        100.4829ms (100%)   11497K              Whole Execution
